DateTime,AddedIPs,RemovedIPs
1534961065,129,79
1534962018,121,89
1534962971,120,66
1534963948,103,68
1534964904,98,385
1534965881,116,78
1534966813,138,95
1534967775,114,68
1534968897,102,86
1534969944,102,43
1534971141,109,51
1534972093,102,64
1534973084,106,98
1534974021,121,84
1534974982,120,87
1534975932,94,15
1534976924,109,157
1534977885,71,8
1534978825,25,71
1534979794,131,61
1534980742,120,76
1534982932,168,159
1534983854,93,77
1534984814,110,113
1534985791,120,10
1534986984,100,88
1534987940,78,82
1534988892,71,94
1534989874,107,62
1534990810,85,67
1534991781,70,78
1534992740,83,60
1534993702,75,73
1534994683,100,47
1534995610,63,69
1534996587,89,71
1534997535,76,75
1534998500,84,62
1534999454,60,67
1535000424,84,52
1535001394,62,64
1535002363,86,76
1535003293,74,35
1535004259,86,57
1535005209,83,89
1535006190,83,61
1535007133,95,73
1535008094,84,67
1535009073,68,55
1535010035,72,70
1535010973,74,80
1535011937,86,74
1535012914,83,71
1535013853,72,86
1535014825,82,63
1535015793,97,77
1535016738,87,66
1535017697,118,73
1535018662,76,63
1535019613,62,73
1535020594,74,58
1535021552,68,81
1535022494,63,71
1535023456,71,59
1535024420,114,107
1535025390,109,112
1535026339,96,74
1535027294,69,79
1535028270,63,71
1535029220,70,72
1535030179,78,83
1535031157,84,107
1535032091,81,78
1535033063,91,65
1535034011,91,65
1535034989,74,79
1535035950,73,55
1535036904,77,6
1535038112,88,113
1535039062,90,65
1535040020,97,61
1535040994,86,67
1535041956,95,74
1535042891,71,64
1535044123,86,77
1535045300,101,64
1535046261,69,53
1535047235,74,64
1535048177,71,58
1535049156,81,59
1535050100,87,42
1535051060,507,77
1535052278,99,427
1535053211,79,8
1535054170,82,55
1535055153,72,73
1535056255,89,70
1535057312,61,25
1535058258,66,35
1535059210,80,51
1535060186,105,85
1535061132,73,72
1535062092,77,106
1535063082,99,86
1535064032,69,61
1535065973,66,146
1535066890,130,96
1535067855,83,7
1535068828,80,76
1535069805,99,84
1535070736,74,71
1535071710,77,59
1535072661,77,94
1535073615,80,92
1535074589,71,5
1535075553,81,111
1535076519,49,25
1535077457,76,55
1535078515,80,70
1535079631,88,132
1535080574,64,5
1535081535,71,55
1535082493,76,77
1535083720,67,139
1535084656,60,9
1535085613,69,58
1535086587,61,69
1535087535,70,57
1535088494,81,72
1535089475,59,68
1535090421,72,56
1535091374,53,69
1535092352,67,80
1535093296,66,60
1535094255,88,61
1535095210,91,72
1535096188,79,80
1535097136,70,74
1535098127,93,87
1535099056,73,66
1535100018,87,79
1535101006,64,93
1535101935,71,93
1535102890,75,104
1535103870,79,75
1535104831,67,87
1535105782,57,71
