DateTime,Entries,UniqueIPs
1534479846,4973,4973
1534480326,4972,4972
1534481045,4975,4975
1534481532,4971,4971
1534482015,4970,4970
1534482485,4971,4971
1534482968,4964,4964
1534483447,4969,4969
1534483925,4971,4971
1534484408,4973,4973
1534484886,4974,4974
1534485365,4975,4975
1534485848,4975,4975
1534486328,4975,4975
1534486805,4975,4975
1534487289,4968,4968
1534487764,4974,4974
1534488244,4975,4975
1534488728,4976,4976
1534489223,4978,4978
1534489686,4980,4980
1534490178,4978,4978
1534490644,4979,4979
1534491130,4977,4977
1534491606,4976,4976
1534492086,4976,4976
1534492564,4976,4976
1534493052,4978,4978
1534493525,4978,4978
1534494008,4975,4975
1534494487,4979,4979
1534494968,4980,4980
1534532647,4979,4979
1534533132,4980,4980
1534541290,4979,4979
1534541768,4979,4979
1534542245,4980,4980
1534554248,4972,4972
1534554727,4973,4973
1534555207,4978,4978
1534555685,4975,4975
1534556164,4977,4977
1534556646,4975,4975
1534557124,4976,4976
1534557622,4975,4975
1534558085,4977,4977
1534558570,4976,4976
1534559044,4973,4973
1534559530,4975,4975
1534560005,4970,4970
1534560486,4973,4973
1534560966,4974,4974
1534561447,4977,4977
1534561928,4975,4975
1534562407,4974,4974
1534562885,4977,4977
1534563366,4974,4974
1534563845,4976,4976
1534564329,4977,4977
1534564808,4976,4976
1534565287,4979,4979
1534565769,4976,4976
1534566246,4977,4977
1534566726,4978,4978
1534567206,4977,4977
1534567686,4977,4977
1534568168,4980,4980
1534568645,4979,4979
1534569130,4979,4979
1534569607,4977,4977
1534570087,4982,4982
1534570565,4975,4975
1534571046,4978,4978
1534571524,4977,4977
1534572024,4978,4978
1534572485,4980,4980
1534572972,4984,4984
1534573446,4978,4978
1534573929,4978,4978
1534574405,4977,4977
1534574886,4978,4978
1534575367,4978,4978
1534575846,4975,4975
1534576333,4974,4974
1534576806,4974,4974
1534577288,4976,4976
1534577768,4975,4975
1534578245,4976,4976
1534578728,4973,4973
1534579210,4977,4977
1534579689,4979,4979
1534580167,4980,4980
1534580651,4978,4978
1534581126,4981,4981
1534583527,4980,4980
1534584005,4981,4981
1534594087,4980,4980
1534594565,4981,4981
1534597449,4980,4980
1534597933,4981,4981
1534600828,4980,4980
1534601285,4981,4981
1534603207,4980,4980
1534603685,4981,4981
1534608490,4980,4980
1534608968,4981,4981
1534610884,4980,4980
1534611369,4981,4981
1534634648,4980,4980
1534635125,4980,4980
1534635605,4981,4981
1534640885,4976,4976
1534641364,4976,4976
1534641845,4976,4976
1534642327,4972,4972
1534642804,4974,4974
1534643287,4977,4977
1534643765,4967,4967
1534644247,4974,4974
1534644729,4971,4971
1534645204,4973,4973
1534645685,4971,4971
1534646166,4968,4968
1534646646,4969,4969
1534647125,4971,4971
1534647611,4971,4971
1534648087,4973,4973
1534648567,4974,4974
1534649048,4976,4976
1534649526,4974,4974
1534650008,4971,4971
1534650487,4973,4973
1534650965,4973,4973
1534651445,4975,4975
1534651932,4974,4974
1534652405,4974,4974
1534652885,4972,4972
1534653364,4973,4973
1534653849,4971,4971
1534654327,4973,4973
1534654809,4970,4970
1534655286,4969,4969
1534655770,4972,4972
1534656245,4970,4970
1534656725,4969,4969
1534657209,4971,4971
1534657686,4971,4971
1534658166,4971,4971
1534658645,4972,4972
1534659126,4972,4972
1534659608,4969,4969
1534660088,4968,4968
1534660569,4968,4968
1534661046,4966,4966
1534661527,4966,4966
1534662013,4969,4969
1534662489,4970,4970
1534662965,4968,4968
1534663449,4968,4968
1534663927,4968,4968
1534664404,4969,4969
1534664887,4972,4972
1534665369,4966,4966
1534665846,4968,4968
1534666327,4969,4969
1534666804,4973,4973
1534667291,4968,4968
1534667768,4970,4970
1534668245,4971,4971
1534669226,4970,4970
1534669687,4971,4971
1534675445,4970,4970
1534675925,4971,4971
1534681205,4970,4970
1534681689,4971,4971
1534727286,4968,4968
1534728008,4973,4973
1534728484,4971,4971
1534728964,4971,4971
1534729446,4971,4971
1534729929,4970,4970
1534730413,4961,4961
1534730885,4964,4964
1534731377,4962,4962
1534731846,4960,4960
1534732327,4958,4958
1534732805,4958,4958
1534733288,4960,4960
1534733766,4960,4960
1534734245,4960,4960
1534734729,4961,4961
1534735208,4960,4960
1534735690,4959,4959
1534736164,4958,4958
1534736645,4959,4959
1534737130,4960,4960
1534737628,4958,4958
1534738085,4958,4958
1534738566,4959,4959
1534739049,4954,4954
1534739526,4957,4957
1534740004,4956,4956
1534740488,4957,4957
1534740967,4959,4959
1534741447,4955,4955
1534741925,4956,4956
1534742410,4957,4957
1534742886,4958,4958
1534743365,4953,4953
1534743846,4953,4953
1534744329,4957,4957
1534744819,4956,4956
1534745286,4957,4957
1534745765,4958,4958
1534746245,4960,4960
1534746726,4960,4960
1534747205,4959,4959
1534747688,4958,4958
1534748167,4960,4960
1534748646,4957,4957
1534749134,4960,4960
1534749609,4960,4960
1534750086,4958,4958
1534750566,4960,4960
1534751045,4960,4960
1534751525,4958,4958
1534752024,4958,4958
1534752490,4958,4958
1534752965,4957,4957
1534753444,4959,4959
1534753931,4961,4961
1534757285,4960,4960
1534757764,4961,4961
1534759248,4960,4960
1534759686,4961,4961
1534796405,4960,4960
1534797127,4961,4961
1534813686,4955,4955
1534814166,4957,4957
